Date,Close,High,Low,Open,Volume
21-08-2020,27930.33008,27959.48047,27686.7793,27758.13086,372720000
24-08-2020,28308.46094,28314.93945,28041.75,28077.58008,383880000
25-08-2020,28248.43945,28400.74023,28094.57031,28347.41992,338420000
26-08-2020,28331.91992,28353.80078,28153.91016,28257.88086,327070000
27-08-2020,28492.26953,28634.2207,28363.92969,28384.07031,404340000
28-08-2020,28653.86914,28733.34961,28487.98047,28601.28906,369740000
31-08-2020,28430.05078,28643.66016,28363.55078,28643.66016,517320000
01-09-2020,28645.66016,28659.25977,28290.7207,28439.60938,423410000
02-09-2020,29100.5,29162.88086,28713.5293,28736.78906,539510000
03-09-2020,28292.73047,29199.34961,28074.75977,29090.69922,650080000
04-09-2020,28133.31055,28539.75,27664.67969,28341.05078,694640000
08-09-2020,27500.89063,27925.23047,27464.90039,27925.23047,580860000
09-09-2020,27940.4707,28206.21094,27704.53906,27711.71094,460590000
10-09-2020,27534.58008,28174.7793,27447.08008,28022.50977,442850000
11-09-2020,27665.64063,27828.82031,27448.15039,27613.85938,435330000
14-09-2020,27993.33008,28086.06055,27718.74023,27718.74023,380750000
15-09-2020,27995.59961,28231.06055,27931.44922,28139.75977,414520000
16-09-2020,28032.38086,28364.76953,28021.66992,28031.68945,416650000
17-09-2020,27901.98047,28056.78906,27647.92969,27834.17969,437230000
18-09-2020,27657.41992,27946.68945,27487.9707,27864.86914,698710000
21-09-2020,27147.69922,27484.71094,26715.15039,27484.71094,523660000
22-09-2020,27288.17969,27333.08984,26989.92969,27170.33984,420720000
23-09-2020,26763.13086,27464.46094,26716.11914,27413.59961,459470000
24-09-2020,26815.43945,27094.84961,26537.00977,26716.08984,447810000
25-09-2020,27173.96094,27239.28906,26635.38086,26694.50977,388900000
28-09-2020,27584.06055,27722.59961,27362.14063,27362.14063,401860000
29-09-2020,27452.66016,27605.59961,27338.08984,27560.24023,303820000
30-09-2020,27781.69922,28026.33008,27511.06055,27514.64063,452550000
01-10-2020,27816.90039,28041.46094,27669.25977,27940.63086,373450000
02-10-2020,27682.81055,27861.42969,27382.93945,27536.39063,392770000
05-10-2020,28148.64063,28162.64063,27825.41992,27825.41992,318210000
06-10-2020,27772.75977,28354.48047,27728.0293,28214.24023,435030000
07-10-2020,28303.46094,28369.66016,27971.35938,27971.35938,328750000
08-10-2020,28425.50977,28459.13086,28265.56055,28348.85938,314750000
09-10-2020,28586.90039,28676.28906,28440.63086,28533.60938,324050000
12-10-2020,28837.51953,28957.90039,28659.66992,28671.11914,493680000
13-10-2020,28679.81055,28808.83984,28604.34961,28764.94922,526110000
14-10-2020,28514,28792.56055,28461.73047,28731.30078,370800000
15-10-2020,28494.19922,28535.84961,28181.53906,28323.40039,328940000
16-10-2020,28606.31055,28842.90039,28570.7207,28570.7207,356140000
19-10-2020,28195.41992,28711.92969,28139.40039,28633.55078,358700000
20-10-2020,28308.78906,28575.0293,28243.03906,28245.84961,350220000
21-10-2020,28210.82031,28450.64063,28196.39063,28270.66016,299420000
22-10-2020,28363.66016,28421.31055,28040.17969,28197.41992,330320000
23-10-2020,28335.57031,28436.51953,28149.82031,28409.65039,347300000
26-10-2020,27685.38086,28185.82031,27370.16016,28185.82031,404150000
27-10-2020,27463.18945,27707.68945,27457.96094,27651.17969,366400000
28-10-2020,26519.94922,27102.14063,26497.39063,27102.14063,496150000
29-10-2020,26659.10938,26891.89063,26290.7793,26480.98047,419770000
30-10-2020,26501.59961,26639.17969,26143.76953,26572.26953,504820000
02-11-2020,26925.05078,27043.48047,26691.2793,26691.2793,379990000
